,name,rating,company_type,location,old,emp,reviews
339,Indus Towers,4.0,Private,Gurgaon + 84 more,15 years old,1k-5k employees (India),(953 Reviews)
340,Lenskart,3.0,Private,Delhi + 81 more,12 years old,5k-10k employees (Global),(953 Reviews)
341,Parle Agro,4.2,Private,"Mumbai,Maharashtra + 117 more",38 years old,1k-5k employees (India),(951 Reviews)
342,Sigma Electric Man...,3.9,Private,"Garner,North Carolina + 14 more",40 years old,1k-5k employees (India),(951 Reviews)
343,Lucas-TVS,4.0,Private,"Chennai,Tamil Nadu",61 years old,1k-5k employees (India),(1.1k Reviews)
344,AGS Health,4.1,Private,"Washington,D.C. + 17 more",11 years old,1k-5k employees (India),(948 Reviews)
345,GSK Pharmaceutical...,4.4,Middlesex,192 years old,1k-5k employees (India),,(1.5k Reviews)
346,Crompton Greaves,4.0,Public,"Mumbai,Maharashtra",85 years old,1k-5k employees (India),(946 Reviews)
347,Delphi TVS,4.1,Private,"Kanchipuram,Tamil Nadu + 19 more",33 years old,1k-5k employees (India),(945 Reviews)
348,V-mart,4.3,Public,"Gurgaon/Gurugram,Haryana + 159 more",20 years old,5k-10k employees (India),(942 Reviews)
349,Power Mech Project...,3.9,Public,"Hyderabad/Secunderabad,Telangana + 80 more",15 years old,1k-5k employees (India),(940 Reviews)
350,Aon,3.9,Private,London,82 years old,10k-50k employees (India),(958 Reviews)
351,Karvy Fintech,3.7,"Hyderabad/Secunderabad,Telangana + 68 more",44 years old,201-500 employees (India),,(937 Reviews)
352,Shriram City,4.2,Public,"Chennai,Tamil Nadu + 288 more",36 years old,10k-50k employees (India),(936 Reviews)
353,DS Group,4.1,Private,"Noida,Uttar Pradesh",93 years old,1k-5k employees (India),(1k Reviews)
354,R1 RCM,3.8,Private,"Chicago,Illinois + 10 more",19 years old,1k-5k employees (India),(924 Reviews)
355,Statestreet HCL Se...,3.4,Private,New Delhi + 9 more,10 years old,5k-10k employees (Global),(922 Reviews)
356,ICICI Securities,3.6,Public,"Mumbai,Maharashtra + 90 more",27 years old,5k-10k employees (India),(921 Reviews)
357,IDBI Bank,3.9,Public,"Mumbai,Maharashtra",58 years old,10k-50k employees (India),(1.1k Reviews)
358,AXA Business Servi...,3.8,Private,"Bangalore/Bengaluru,Karnataka + 5 more",27 years old,1k-5k employees (Global),(919 Reviews)
359,Endurance Technolo...,3.7,Public,"Aurangabad,Maharashtra + 25 more",37 years old,1k-5k employees (Global),(917 Reviews)
360,Bharti AXA Life In...,3.9,Private,Mumbai + 169 more,16 years old,5k-10k employees (India),(916 Reviews)
361,Persistent Systems,4.1,Public,"Pune,Maharashtra",32 years old,10k-50k employees (India),(914 Reviews)
362,TVS Credit Service...,4.3,Public,"Chennai,Tamil Nadu + 176 more",14 years old,10k-50k employees (India),(913 Reviews)
363,Hindustan Aeronaut...,4.4,Private,"Bangalore/Bengaluru,Karnataka + 32 more",82 years old,10k-50k employees (India),(909 Reviews)
364,Bharat Petroleum,4.2,Private,"Mumbai,Maharashtra + 154 more",70 years old,50k-1 Lakh employees (India),(909 Reviews)
365,Cadila Pharmaceuti...,4.0,Public,"Ahmedabad,Gujrat",71 years old,5k-10k employees (India),(5.1k Reviews)
366,CMS Infosystems,3.8,Private,"Mumbai,Maharashtra + 118 more",14 years old,5k-10k employees (India),(906 Reviews)
367,Datamatics Global ...,3.6,Public,Mumbai,47 years old,1k-5k employees (India),(1.3k Reviews)
368,Tata Capital Finan...,4.2,Public,Mumbai + 102 more,15 years old,1k-5k employees (India),(889 Reviews)
369,Narayana Health,4.3,"Bangalore/Bengaluru,Karnataka + 45 more",22 years old,10k-50k employees (India),,(888 Reviews)
370,Reliance Trends,4.3,Private,"Navi Mumbai,Maharashtra + 200 more",16 years old,1 Lakh+ employees (India),(888 Reviews)
371,Saint-Gobain,4.1,Private,Paris,357 years old,10k-50k employees (India),(968 Reviews)
372,Johnson Controls,3.7,Public,Cork,27 years old,5k-10k employees (India),(887 Reviews)
373,Myntra,4.1,Private,"Bangalore/Bengaluru,Karnataka",15 years old,1k-5k employees (India),(893 Reviews)
374,Kansai Nerolac Pai...,3.8,Public,"Mumbai,Maharashtra + 109 more",102 years old,1k-5k employees (India),(883 Reviews)
